,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,810.0,117.0,364.0,89.0,156.0,5441.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-09-11 17:30:34.000000,2025-09-11 17:30:32,365.0,186.0,57.0,214.0,,4.0,2598.0,Collection of web-scraping and crawling libraries.,16.0,0,True,19.0,2025-09-11 17:30:40.000,2025.09.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-18 14:54:54.000000,2025-09-18 14:54:54,383.0,273.0,100.0,212.0,8.0,6.0,4143.0,Collection of data-loading and -extraction libraries.,14.0,0,True,22.0,2025-09-18 14:55:01.000,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-18 14:54:54.000000,2025-09-18 14:54:54,383.0,273.0,100.0,212.0,8.0,6.0,4143.0,Collection of database clients for python.,14.0,0,True,22.0,2025-09-18 14:55:01.000,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-18 14:54:54.000000,2025-09-18 14:54:54,383.0,273.0,100.0,212.0,8.0,6.0,4143.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,22.0,2025-09-18 14:55:01.000,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-18 14:54:54.000000,2025-09-18 14:54:54,383.0,273.0,100.0,212.0,8.0,6.0,4143.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,22.0,2025-09-18 14:55:01.000,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-09-18 14:03:04.000000,2025-09-18 14:02:55,184674.0,74841.0,7452.0,57674.0,1627.0,40007.0,194479.0,An Open Source Machine Learning Framework for Everyone.,4927.0,55,True,3135.0,2025-08-13 17:45:14.000,2.20.0,210.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],547782.0,538510.0,https://pypi.org/project/tensorflow,2025-08-13 16:50:38.000,9272.0,22282075.0,23057849.0,https://anaconda.org/conda-forge/tensorflow,2025-09-11 02:20:56.517,5876803.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-09-18 12:50:17.730916,2801.0,80356547.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-09-18 14:05:30.000000,2025-09-18 14:05:21,93190.0,25148.0,1788.0,108995.0,17045.0,38115.0,93266.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5906.0,55,True,3807.0,2025-08-06 17:06:10.000,2.8.0,61.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],850981.0,822896.0,https://pypi.org/project/torch,2025-08-06 14:53:15.000,28085.0,67184513.0,67776652.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,28377431.0,,,,,1.0,101917.0,-1.0,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-09-18 14:08:50.000000,2025-09-18 13:40:53,20497.0,30421.0,1167.0,22457.0,1987.0,16877.0,149947.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3572.0,54,True,1128.0,2025-09-17 09:13:17.000,4.56.2,197.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",410940.0,400550.0,https://pypi.org/project/transformers,2025-09-04 20:47:04.000,10390.0,106189417.0,106240748.0,https://anaconda.org/conda-forge/transformers,2025-09-05 01:29:55.430,3182549.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-09-18 08:39:58.000000,2025-09-18 08:39:58,32858.0,26211.0,2133.0,19370.0,2162.0,10116.0,63362.0,scikit-learn: machine learning in Python.,3381.0,53,True,292.0,2025-09-09 08:57:24.000,1.7.2,88.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1356016.0,1322459.0,https://pypi.org/project/scikit-learn,2025-09-09 08:20:19.000,33557.0,133835863.0,134449884.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,39296777.0,,,,,1.0,1062.0,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-09-18 06:30:02.000000,2025-09-18 06:30:02,35898.0,5473.0,352.0,12593.0,1772.0,9548.0,14033.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1826.0,51,True,396.0,2025-09-11 17:48:49.000,1.16.2,119.0,,scipy,conda-forge/scipy,,,,1457698.0,1398481.0,https://pypi.org/project/scipy,2025-09-11 17:39:20.000,59217.0,204945080.0,206121549.0,https://anaconda.org/conda-forge/scipy,2025-09-12 16:39:24.638,68119742.0,,,,,1.0,233048.0,,,,,,,,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-09-17 21:39:41.000000,2025-09-17 21:39:41,11702.0,19619.0,1880.0,8342.0,260.0,12322.0,63411.0,Deep Learning for humans.,1433.0,50,True,133.0,2025-08-22 17:48:22.000,3.11.3,113.0,,keras,conda-forge/keras,,https://keras.io,['tensorflow'],305864.0,303889.0,https://pypi.org/project/keras,2025-08-21 22:08:55.000,1975.0,15054455.0,15123894.0,https://anaconda.org/conda-forge/keras,2025-08-14 14:37:18.300,4374673.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
