,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,812.0,116.0,366.0,89.0,156.0,5457.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-09 16:13:00.000000,2025-10-02 18:06:49,371.0,188.0,56.0,217.0,,4.0,2614.0,Collection of web-scraping and crawling libraries.,16.0,0,True,25.0,2025-09-28 18:52:23.000,2025.09.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-09 16:29:44.000000,2025-10-09 16:29:44,389.0,275.0,98.0,215.0,8.0,6.0,4176.0,Collection of data-loading and -extraction libraries.,14.0,0,True,28.0,2025-10-09 16:29:50.000,2025.10.09,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-09 16:29:44.000000,2025-10-09 16:29:44,389.0,275.0,98.0,215.0,8.0,6.0,4176.0,Collection of database clients for python.,14.0,0,True,28.0,2025-10-09 16:29:50.000,2025.10.09,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-09 16:29:44.000000,2025-10-09 16:29:44,389.0,275.0,98.0,215.0,8.0,6.0,4176.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,28.0,2025-10-09 16:29:50.000,2025.10.09,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-09 16:29:44.000000,2025-10-09 16:29:44,389.0,275.0,98.0,215.0,8.0,6.0,4176.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,28.0,2025-10-09 16:29:50.000,2025.10.09,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-10-09 13:58:34.000000,2025-10-09 13:57:22,185628.0,74892.0,7449.0,59067.0,1787.0,40039.0,194773.0,An Open Source Machine Learning Framework for Everyone.,4942.0,56,True,3388.0,2025-08-13 17:45:14.000,2.20.0,210.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],548559.0,539091.0,https://pypi.org/project/tensorflow,2025-08-13 16:50:38.000,9468.0,24159323.0,24930663.0,https://anaconda.org/conda-forge/tensorflow,2025-09-11 02:20:56.517,5945700.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-10-09 12:50:21.397236,2807.0,80558725.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-10-09 14:05:22.000000,2025-10-09 13:58:52,94190.0,25502.0,1787.0,110391.0,16980.0,38677.0,93789.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5957.0,56,True,3912.0,2025-08-06 17:06:10.000,2.8.0,61.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],854293.0,825070.0,https://pypi.org/project/torch,2025-08-06 14:53:15.000,29223.0,66988016.0,67573505.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,28641668.0,,,,,1.0,105356.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-10-09 14:29:16.000000,2025-10-09 14:29:16,20763.0,30657.0,1173.0,22857.0,2024.0,16955.0,150800.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3602.0,54,True,1153.0,2025-10-03 17:04:51.000,4.57.0,200.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",412660.0,401971.0,https://pypi.org/project/transformers,2025-10-03 17:03:43.000,10689.0,90473842.0,90525521.0,https://anaconda.org/conda-forge/transformers,2025-10-03 20:04:17.241,3255777.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-10-09 12:00:50.000000,2025-10-09 12:00:49,33008.0,26305.0,2134.0,19574.0,2138.0,10160.0,63608.0,scikit-learn: machine learning in Python.,3422.0,53,True,380.0,2025-09-09 08:57:24.000,1.7.2,88.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1359214.0,1324765.0,https://pypi.org/project/scikit-learn,2025-09-09 08:20:19.000,34449.0,137681415.0,138293584.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,39790419.0,,,,,1.0,1062.0,,,,,,,,,,,,,,,,,,
